window_id,source_clip_id,source_path,category,coarse_class,subject,window_start_frame,window_end_frame,output_path
train_009509_idle_000556_000751_w000000_000045,train_009509_idle_000556_000751,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,idle,other,bk,0,45,windows/train/idle/train_009509_idle_000556_000751_w000000_000045.npz
train_009509_unknown_mixed_004021_004838_w000000_000045,train_009509_unknown_mixed_004021_004838,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,unknown_mixed,other,bk,0,45,windows/train/unknown_mixed/train_009509_unknown_mixed_004021_004838_w000000_000045.npz
train_009509_idle_000556_000751_w000004_000049,train_009509_idle_000556_000751,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,idle,other,bk,4,49,windows/train/idle/train_009509_idle_000556_000751_w000004_000049.npz
train_009509_unknown_mixed_000000_000556_w000015_000060,train_009509_unknown_mixed_000000_000556,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,unknown_mixed,other,bk,15,60,windows/train/unknown_mixed/train_009509_unknown_mixed_000000_000556_w000015_000060.npz
train_009509_unknown_mixed_004021_004838_w000030_000075,train_009509_unknown_mixed_004021_004838,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,unknown_mixed,other,bk,30,75,windows/train/unknown_mixed/train_009509_unknown_mixed_004021_004838_w000030_000075.npz
train_009509_idle_005738_006668_w000060_000105,train_009509_idle_005738_006668,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,idle,other,bk,60,105,windows/train/idle/train_009509_idle_005738_006668_w000060_000105.npz
train_009509_unknown_mixed_004021_004838_w000075_000120,train_009509_unknown_mixed_004021_004838,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,unknown_mixed,other,bk,75,120,windows/train/unknown_mixed/train_009509_unknown_mixed_004021_004838_w000075_000120.npz
train_009509_idle_005738_006668_w000105_000150,train_009509_idle_005738_006668,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,idle,other,bk,105,150,windows/train/idle/train_009509_idle_005738_006668_w000105_000150.npz
train_009509_unknown_mixed_005063_005738_w000124_000169,train_009509_unknown_mixed_005063_005738,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,unknown_mixed,other,bk,124,169,windows/train/unknown_mixed/train_009509_unknown_mixed_005063_005738_w000124_000169.npz
train_009509_idle_005738_006668_w000188_000233,train_009509_idle_005738_006668,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,idle,other,bk,188,233,windows/train/idle/train_009509_idle_005738_006668_w000188_000233.npz
train_009509_walk_000751_001208_w000000_000045,train_009509_walk_000751_001208,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,walk,walk,bk,0,45,windows/train/walk/train_009509_walk_000751_001208_w000000_000045.npz
train_009509_walk_009916_010096_w000000_000045,train_009509_walk_009916_010096,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,walk,walk,bk,0,45,windows/train/walk/train_009509_walk_009916_010096_w000000_000045.npz
train_009509_walk_008656_009578_w000015_000060,train_009509_walk_008656_009578,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,walk,walk,bk,15,60,windows/train/walk/train_009509_walk_008656_009578_w000015_000060.npz
train_009509_walk_008656_009578_w000030_000075,train_009509_walk_008656_009578,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,walk,walk,bk,30,75,windows/train/walk/train_009509_walk_008656_009578_w000030_000075.npz
train_009509_walk_008656_009578_w000045_000090,train_009509_walk_008656_009578,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,walk,walk,bk,45,90,windows/train/walk/train_009509_walk_008656_009578_w000045_000090.npz
train_009509_walk_007576_008198_w000060_000105,train_009509_walk_007576_008198,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,walk,walk,bk,60,105,windows/train/walk/train_009509_walk_007576_008198_w000060_000105.npz
train_009509_walk_007576_008198_w000075_000120,train_009509_walk_007576_008198,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,walk,walk,bk,75,120,windows/train/walk/train_009509_walk_007576_008198_w000075_000120.npz
train_009509_walk_008656_009578_w000090_000135,train_009509_walk_008656_009578,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,walk,walk,bk,90,135,windows/train/walk/train_009509_walk_008656_009578_w000090_000135.npz
train_009509_walk_002258_002918_w000120_000165,train_009509_walk_002258_002918,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,walk,walk,bk,120,165,windows/train/walk/train_009509_walk_002258_002918_w000120_000165.npz
train_009509_walk_008656_009578_w000186_000231,train_009509_walk_008656_009578,MPI_HDM05/bk/HDM_bk_01-01_01_120_poses.npz,walk,walk,bk,186,231,windows/train/walk/train_009509_walk_008656_009578_w000186_000231.npz
train_013267_idle_002802_003048_w000000_000045,train_013267_idle_002802_003048,MPI_HDM05/bk/HDM_bk_01-01_02_120_poses.npz,idle,other,bk,0,45,windows/train/idle/train_013267_idle_002802_003048_w000000_000045.npz
train_013267_unknown_mixed_006007_008375_w000015_000060,train_013267_unknown_mixed_006007_008375,MPI_HDM05/bk/HDM_bk_01-01_02_120_poses.npz,unknown_mixed,other,bk,15,60,windows/train/unknown_mixed/train_013267_unknown_mixed_006007_008375_w000015_000060.npz
train_013267_unknown_mixed_000000_000378_w000050_000095,train_013267_unknown_mixed_000000_000378,MPI_HDM05/bk/HDM_bk_01-01_02_120_poses.npz,unknown_mixed,other,bk,50,95,windows/train/unknown_mixed/train_013267_unknown_mixed_000000_000378_w000050_000095.npz
train_013267_unknown_mixed_000608_002802_w000105_000150,train_013267_unknown_mixed_000608_002802,MPI_HDM05/bk/HDM_bk_01-01_02_120_poses.npz,unknown_mixed,other,bk,105,150,windows/train/unknown_mixed/train_013267_unknown_mixed_000608_002802_w000105_000150.npz
